('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         662815 function calls (637022 primitive calls) in 1.061 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      144    0.651    0.005    0.651    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.051    0.051    0.051    0.051 {built-in method _socket.getaddrinfo}
        1    0.040    0.040    0.040    0.040 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.039    0.039    0.039    0.039 {method 'connect' of '_socket.socket' objects}
 3703/239    0.021    0.000    0.059    0.000 sre_parse.py:493(_parse)
      293    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
 4995/200    0.011    0.000    0.029    0.000 sre_compile.py:71(_compile)
     1242    0.008    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
  894/891    0.008    0.000    0.065    0.000 {built-in method builtins.__build_class__}
    11943    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
    29779    0.006    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
     1255    0.006    0.000    0.028    0.000 parser.py:301(parse_starttag)
    29261    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
64053/57870    0.005    0.000    0.006    0.000 {built-in method builtins.len}
63846/63836    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
 5292/670    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
        2    0.004    0.002    0.046    0.023 parser.py:134(goahead)
 1539/201    0.004    0.000    0.059    0.000 sre_parse.py:435(_parse_sub)
    72149    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    378/1    0.004    0.000    1.061    1.061 {built-in method builtins.exec}
    19751    0.004    0.000    0.007    0.000 sre_parse.py:254(get)
        1    0.003    0.003    0.003    0.003 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      638    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.003    0.003    0.019    0.019 dammit.py:2313(_populate_class_variables)
      162    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1407    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     1256    0.003    0.000    0.008    0.000 element.py:1152(__init__)
      969    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x908780}
    14680    0.002    0.000    0.004    0.000 sre_parse.py:249(match)
      950    0.002    0.000    0.004    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
      293    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     1255    0.002    0.000    0.012    0.000 __init__.py:691(handle_starttag)
     1188    0.002    0.000    0.009    0.000 parser.py:386(parse_endtag)
    11853    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
       10    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
     1255    0.002    0.000    0.014    0.000 _htmlparser.py:119(handle_starttag)
     3670    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
    12472    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       26    0.002    0.000    0.004    0.000 enum.py:157(__new__)
     1277    0.001    0.000    0.005    0.000 element.py:2060(search_tag)
      343    0.001    0.000    0.098    0.000 re.py:289(_compile)
      293    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      475    0.001    0.000    0.002    0.000 css_types.py:37(__init__)
     1255    0.001    0.000    0.003    0.000 __init__.py:657(_popToTag)
      293    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:914(get_code)
     5733    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1256    0.001    0.000    0.002    0.000 __init__.py:541(pushTag)
     4894    0.001    0.000    0.002    0.000 _markupbase.py:48(updatepos)
     3479    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     6946    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
     3479    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
  354/319    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap>:890(_find_spec)
5123/5055    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2896    0.001    0.000    0.002    0.000 typing.py:762(__setattr__)
    12063    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
    11000    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2104    0.001    0.000    0.001    0.000 element.py:158(setup)
      586    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     5633    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     5284    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1233    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     3679    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1300    0.001    0.000    0.003    0.000 element.py:2156(_matches)
    361/3    0.001    0.000    0.206    0.069 <frozen importlib._bootstrap>:986(_find_and_load)
     1255    0.001    0.000    0.001    0.000 __init__.py:527(popTag)
      293    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      812    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      518    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
        2    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
     1242    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      543    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      336    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     2515    0.001    0.000    0.003    0.000 __init__.py:555(endData)
      389    0.001    0.000    0.004    0.000 typing.py:659(__init__)
       29    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
       25    0.001    0.000    0.352    0.014 __init__.py:1(<module>)
     1707    0.001    0.000    0.006    0.000 element.py:2123(search)
     2873    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
7034/5836    0.001    0.000    0.016    0.000 {built-in method builtins.hasattr}
      325    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     1255    0.001    0.000    0.003    0.000 parser.py:352(check_for_whole_start_tag)
     5282    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
    360/3    0.001    0.000    0.206    0.069 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    325/3    0.001    0.000    0.206    0.069 <frozen importlib._bootstrap>:650(_load_unlocked)
     5634    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      684    0.001    0.000    0.002    0.000 typing.py:120(_type_check)
     1146    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
    10712    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      200    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      200    0.001    0.000    0.096    0.000 sre_compile.py:759(compile)
      129    0.001    0.000    0.001    0.000 sre_compile.py:492(_get_charset_prefix)
      589    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     2896    0.001    0.000    0.001    0.000 typing.py:646(_is_dunder)
        4    0.001    0.000    0.007    0.002 element.py:780(_find_all)
      313    0.001    0.000    0.003    0.000 css_parser.py:999(selector_iter)
      467    0.001    0.000    0.001    0.000 enum.py:75(__setitem__)
     1255    0.001    0.000    0.006    0.000 __init__.py:729(handle_endtag)
     3257    0.001    0.000    0.001    0.000 {built-in method builtins.max}
1043/1004    0.001    0.000    0.009    0.000 typing.py:255(inner)
      518    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
     1233    0.001    0.000    0.002    0.000 sre_parse.py:432(_uniq)
     1519    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
 1469/922    0.001    0.000    0.001    0.000 typing.py:720(__hash__)
     3644    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     5625    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       72    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     1881    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      164    0.001    0.000    0.657    0.004 http11.py:166(_receive_event)
2952/2951    0.001    0.000    0.003    0.000 {built-in method builtins.next}
      543    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      848    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      543    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     6285    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
3174/2162    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1255    0.000    0.000    0.006    0.000 _htmlparser.py:171(handle_endtag)
     7545    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
  307/306    0.000    0.000    0.001    0.000 _readers.py:137(__call__)
       33    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      167    0.000    0.000    0.001    0.000 _events.py:31(__init__)
      200    0.000    0.000    0.060    0.000 sre_parse.py:937(parse)
    293/3    0.000    0.000    0.206    0.069 <frozen importlib._bootstrap_external>:842(exec_module)
      602    0.000    0.000    0.001    0.000 enum.py:417(__setattr__)
    45/14    0.000    0.000    0.009    0.001 css_parser.py:847(parse_selectors)
     2569    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      424    0.000    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
     1612    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      293    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     1255    0.000    0.000    0.001    0.000 element.py:1284(is_empty_element)
      420    0.000    0.000    0.001    0.000 typing.py:172(_collect_type_vars)
     4010    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2241    0.000    0.000    0.001    0.000 css_parser.py:305(match)
  325/324    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     1403    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
  161/122    0.000    0.000    0.003    0.000 typing.py:347(__getitem__)
      744    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      308    0.000    0.000    0.004    0.000 _connection.py:382(next_event)
      879    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      463    0.000    0.000    0.001    0.000 contextlib.py:117(__exit__)
        5    0.000    0.000    0.170    0.034 {method 'join' of 'bytes' objects}
      167    0.000    0.000    0.001    0.000 _connection.py:230(_process_event)
      465    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
     1311    0.000    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
     2407    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
       77    0.000    0.000    0.003    0.000 css_parser.py:450(parse_attribute_selector)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      424    0.000    0.000    0.001    0.000 element.py:932(__new__)
      144    0.000    0.000    0.652    0.005 sync.py:22(read)
      939    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
     4573    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
      464    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
      200    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      200    0.000    0.000    0.001    0.000 enum.py:938(__and__)
       26    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
      303    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      308    0.000    0.000    0.002    0.000 _connection.py:356(_extract_next_receive_event)
      544    0.000    0.000    0.003    0.000 enum.py:313(__call__)
      596    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
     2407    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      421    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       13    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
