('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         505558 function calls (486875 primitive calls) in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      148    0.532    0.004    0.532    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.100    0.100    0.100    0.100 {built-in method _socket.getaddrinfo}
        1    0.041    0.041    0.041    0.041 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.040    0.040    0.040    0.040 {method 'connect' of '_socket.socket' objects}
 3184/181    0.015    0.000    0.044    0.000 sre_parse.py:493(_parse)
 3924/174    0.008    0.000    0.019    0.000 sre_compile.py:71(_compile)
      150    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
     1255    0.006    0.000    0.030    0.000 parser.py:301(parse_starttag)
    11924    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
        2    0.005    0.002    0.051    0.025 parser.py:134(goahead)
      514    0.004    0.000    0.051    0.000 {built-in method builtins.__build_class__}
    21873    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
    23032    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
      877    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
50698/45985    0.003    0.000    0.004    0.000 {built-in method builtins.len}
    47913    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
 1182/175    0.003    0.000    0.044    0.000 sre_parse.py:435(_parse_sub)
 3922/345    0.003    0.000    0.005    0.000 sre_parse.py:174(getwidth)
    59359    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.003    0.003    0.003    0.003 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1256    0.003    0.000    0.008    0.000 element.py:1152(__init__)
       32    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    14736    0.003    0.000    0.005    0.000 sre_parse.py:254(get)
        1    0.002    0.002    0.017    0.017 dammit.py:2313(_populate_class_variables)
     1255    0.002    0.000    0.012    0.000 __init__.py:691(handle_starttag)
     1255    0.002    0.000    0.015    0.000 _htmlparser.py:119(handle_starttag)
     1188    0.002    0.000    0.011    0.000 parser.py:386(parse_endtag)
      800    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x908780}
      950    0.002    0.000    0.004    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
    10359    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
